Вакансия,Дата,Зарплата,Компания,Требуемый опыт работы,Тип занятости,Проживание,Гражданство,Обязанности:,Требования:,Образование:,Условия:,График работы:
Ветеринарный врач,17 апреля 2023,35000,"ОАО""АПО ЭЛЕКОМ""",Не имеет значения,Полная,Нет,РФ,NULL,NULL,Высшее,NULL,Полный рабочий день
Доярка,17 апреля 2023,45000,"ООО ""АГРОСОЮЗ - КРАСНОЕ СЕЛЬЦО""",Не имеет значения,Полная,Нет,РФ,NULL,NULL,NULL,NULL,Сменный график
Тракторист,17 апреля 2023,40000,"ООО ""АГРОСОЮЗ - КРАСНОЕ СЕЛЬЦО""",Молодой специалист (1-3 года),Полная,Нет,РФ,NULL,NULL,Полное общее,NULL,Полный рабочий день
Тракторист,17 апреля 2023,26600,"ООО ""УПФ""",Молодой специалист (1-3 года),Полная,Нет,РФ,NULL,NULL,Среднее профессиональное,NULL,Сменный график
Механик,17 апреля 2023,25000,"ООО ""Родина""",Не имеет значения,Полная,Нет,РФ,NULL,NULL,NULL,NULL,Полный рабочий день
Механизатор,17 апреля 2023,30000,СПК (КОЛХОЗ) ИМЕНИ ФРУНЗЕ,Не имеет значения,Полная,Нет,РФ,NULL,NULL,Среднее профессиональное,NULL,Полный рабочий день
Ветеринарный врач,17 апреля 2023,40000,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТТСВЕННОСТЬЮ ""АГРОПРОМЫШЛЕННАЯ КОМПАНИЯ"" АМЕТИСТ""",Молодой специалист (1-3 года),Полная,Нет,РФ,Осуществление мероприятий по профилактике болезней у животных,NULL,Среднее профессиональное,NULL,Полный рабочий день
Тракторист-машинист,17 апреля 2023,25000,ИП Куропятник Н. Ф.,Молодой специалист (1-3 года),Полная,Нет,РФ,"Выполнение механизированных работ в сельскохозяйственном производстве с поддержанием технического состояния средств механизации;выполнение основной обработки почвы с заданными агротехническими требованиями;внесение удобрений с заданными агротехническими требованиями;посев и посадка сельскохозяйственных культур с заданными агротехническтми требованиями;выполнение механизированных работ по уходу за сельскохозяйственными культурами;выполнение уборочных работ по уходу за сельскохозяйственными культурами;погрузочно-разгрузочные, транспортные и стационарные работы на тракторах;техническое обслуживание при использовании и при хранении трактора.",NULL,Среднее профессиональное,NULL,Полный рабочий день
Ветеринарный врач,17 апреля 2023,37000,"ОАО ""ИМЕНИ ИЛЬИЧА""",Молодой специалист (1-3 года),Полная,Нет,РФ,NULL,NULL,Высшее,NULL,Ненормированный рабочий день
Санитар ветеринарный,17 апреля 2023,30000,"ОАО ""ИМЕНИ ИЛЬИЧА""",Не имеет значения,Полная,Нет,РФ,"приготавливает и подготавливает лекарственные средства, оборудование, инструменты, материалы; осуществляет уход за больными животными; производит подрезку копыт, удаление и подрезку рогов, обрезку и прижигание клюва у цыплят в промышленном птицеводстве; обрабатывает кожный покров животных против паразитов; проводит дератизацию; проводит мероприятия по карантину и изоляции больных и подозрительных на заболевание животных по указанию ветеринарного врача; оказывает помощь ветеринарным специалистам при проведении регулярных массовых прививок, обработок животных с помощью аппаратов и механизмов, а также при патологоанатомических вскрытиях и утилизации трупов животных;",NULL,Среднее профессиональное,NULL,Полный рабочий день
Тракторист,17 апреля 2023,20000,"АО ФИРМА ""АГРОКОМПЛЕКС"" ИМ. Н.И.ТКАЧЕВА",Не имеет значения,Полная,Нет,РФ,NULL,NULL,NULL,NULL,Полный рабочий день
Тракторист,17 апреля 2023,45000,"ООО ""СЕЛЬХОЗ-ГАЛАН""",Молодой специалист (1-3 года),Полная,Нет,РФ,NULL,NULL,Среднее профессиональное,NULL,Полный рабочий день
Агроном,17 апреля 2023,50000,"ООО ""АГРО-ГАЛАН""",Молодой специалист (1-3 года),Полная,Нет,РФ,NULL,NULL,Высшее,NULL,Полный рабочий день
Тракторист,17 апреля 2023,45000,"ООО ""АГРО-ГАЛАН""",Молодой специалист (1-3 года),Полная,Нет,РФ,NULL,NULL,Среднее профессиональное,NULL,Полный рабочий день
Тракторист-машинист,17 апреля 2023,40000,"АО ""ПРИМАГРО""",Молодой специалист (1-3 года),Полная,Нет,РФ,NULL,NULL,Среднее профессиональное,NULL,Полный рабочий день
Юрисконсульт,17 апреля 2023,28000,"ООО СХП ИМ. С.В.ЛУЦЕНКО """"ПР.ВОЛЯ""",Не имеет значения,Полная,Нет,РФ,NULL,NULL,Высшее,NULL,Полный рабочий день
Агроном,17 апреля 2023,60000,"ООО ""ДОРФ""",Молодой специалист (1-3 года),Полная,Нет,РФ,"Агрономическая консультация и составление схемы защиты растений. Осуществлять продажи и полное сопровождение сделок по продаже СЗР (средств защиты растений), семян, полевых культур, микроудобрений. Поиск новых клиентов, активное развитие и поддержание имеющейся клиентской базы. Послепродажное сопровождение клиентов. Контроль за исполнение клиентами договорных обязательств (поступление денежных средств, работа с дебиторской задолженностью).",NULL,Высшее,NULL,Полный рабочий день
Ветеринарный фельдшер,17 апреля 2023,16242,"ГБУ АО ""ВОЛОДАРСКАЯ РАЙВЕТСТАНЦИЯ""",Не имеет значения,Полная,Нет,РФ,NULL,NULL,Среднее профессиональное,NULL,Полный рабочий день
Обработчик рыбы,17 апреля 2023,19300,"ООО ПКФ ""БЕРКУТ""",Не имеет значения,Полная,Нет,РФ,"Разделка-резка рыбы всех видов на пласт, полупласт и филе  .",NULL,Полное общее,NULL,Полный рабочий день
Агроном,17 апреля 2023,30000,"ООО ""АГРОПРОМЫШЛЕННЫЙ ХОЛДИНГ ""ДОБРОНРАВОВ АГРО""",Не имеет значения,Полная,Нет,РФ,NULL,NULL,NULL,NULL,Полный рабочий день
Оператор машинного доения,17 апреля 2023,35000,"ООО  ""Тарбаево""",Не имеет значения,Полная,Нет,РФ,NULL,NULL,Полное общее,NULL,Сменный график
Тракторист-машинист,17 апреля 2023,35000,"СПК ""НОВОСЕЛЬСКИЙ""",Не имеет значения,Полная,Нет,РФ,Должностные обязанности уточняются у работодателя при собеседованииТрудовые действия: Выполнение механизированных работ по разгрузке и раздаче кормов в животноводческих помещениях.,NULL,Среднее профессиональное,NULL,Полный рабочий день
Ветеринарный врач,17 апреля 2023,25000,"ООО ""АФИНЫ-ВОЛГА""",Не имеет значения,Полная,Нет,РФ,NULL,NULL,NULL,NULL,Полный рабочий день
Оператор машинного доения,17 апреля 2023,30000,"Селькохозяйственный производственный кооператив ""Лохта""",Не имеет значения,Полная,Нет,РФ,NULL,NULL,NULL,NULL,Полный рабочий день
Разнорабочий,17 апреля 2023,20000,"ООО ""СХП ЦВЕТЫ""",Не имеет значения,Полная,Нет,РФ,"осуществляет срезку, упаковывание растений, хозяйственные работы в теплицах",NULL,Полное общее,NULL,Полный рабочий день
Оператор машинного доения,17 апреля 2023,19465,"ООО ""СЕВЕРОДВИНЕЦ""",Молодой специалист (1-3 года),Полная,Нет,РФ,NULL,NULL,NULL,NULL,Сменный график
Токарь,17 апреля 2023,16335,"ЗАО ""ИМЕНИ ЛЕНИНА""",Молодой специалист (1-3 года),Полная,Нет,РФ,NULL,NULL,Среднее профессиональное,NULL,Полный рабочий день
Автоэлектрик,17 апреля 2023,25000,"ООО ""ЦЧ АПК"" филиал ""Хопер Агро""",Эксперт (3-6 лет),Полная,Нет,РФ,NULL,NULL,NULL,NULL,Полный рабочий день
Механизатор,17 апреля 2023,По договорённости,ИП ГЛАВА КФХ ЛОТЫШЕВ СЕРГЕЙ ИВАНОВИЧ,Не имеет значения,Полная,Нет,РФ,NULL,NULL,NULL,NULL,Полный рабочий день
Оператор по искусственному осеменению животных и птицы,17 апреля 2023,20000,"ООО ""РАВ МОЛОКОПРОДУКТ"" ФИЛИАЛ РОССОШАНСКИЙ",Молодой специалист (1-3 года),Полная,Нет,РФ,"СОГЛАСНО ДОЛЖНОСТНОЙ ИНСТРУКЦИИ, УТВЕРЖДЕННОЙ НА ПРЕДПРИЯТИИ",NULL,Полное общее,NULL,Полный рабочий день
Животновод,17 апреля 2023,17000,"Общество с ограниченной ответственностью ""Клочково""",Не имеет значения,Полная,Нет,РФ,NULL,NULL,NULL,NULL,Сменный график
Тракторист,17 апреля 2023,20000,"Общество с ограниченной ответственностью ""Клочково""",Не имеет значения,Полная,Нет,РФ,NULL,NULL,NULL,NULL,Полный рабочий день
Зоотехник,17 апреля 2023,30000,"ООО ""МОЛОЧНАЯ ФАБРИКА""",Не имеет значения,Полная,Нет,РФ,NULL,NULL,Высшее,NULL,Полный рабочий день
Плодоовощевод,17 апреля 2023,25000,"ОАО ""Суховский""",Не имеет значения,Полная,Нет,РФ,NULL,NULL,NULL,NULL,Полный рабочий день
Рабочий по уходу за животными,17 апреля 2023,35000,"ООО ""АПК ""СОЮЗ""",Не имеет значения,Полная,Нет,РФ,NULL,NULL,NULL,NULL,Полный рабочий день
Оператор машинного доения,17 апреля 2023,40000,"ООО ""АПК ""СОЮЗ""",Молодой специалист (1-3 года),Полная,Нет,РФ,NULL,NULL,Полное общее,NULL,Полный рабочий день
Оператор машинного доения,17 апреля 2023,45000,"ПСПК ""КРАСНОПОЛЬСКИЙ""",Не имеет значения,Полная,Нет,РФ,NULL,NULL,Полное общее,NULL,Полный рабочий день
Разнорабочий,17 апреля 2023,18000,"Общество с ограниченной ответственностью ""Сельхозпродукт""",Не имеет значения,Полная,Нет,РФ,NULL,NULL,NULL,NULL,Полный рабочий день
Санитар ветеринарный,17 апреля 2023,20000,"Акционерное общество ""Агрофирма Боровская""",Не имеет значения,Вахтовый метод,Нет,РФ,NULL,NULL,Полное общее,NULL,Полный рабочий день
Лаборант,17 апреля 2023,18819,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЛЕНИНГРАДСКОЙ ОБЛАСТИ ""СТАНЦИЯ ПО БОРЬБЕ С БОЛЕЗНЯМИ ЖИВОТНЫХ ВОЛОСОВСКОГО РАЙОНА""",Не имеет значения,Полная,Нет,РФ,NULL,NULL,NULL,NULL,Полный рабочий день
Санитар ветеринарный,17 апреля 2023,16815,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЛЕНИНГРАДСКОЙ ОБЛАСТИ ""СТАНЦИЯ ПО БОРЬБЕ С БОЛЕЗНЯМИ ЖИВОТНЫХ ВОЛОСОВСКОГО РАЙОНА""",Не имеет значения,Полная,Нет,РФ,NULL,NULL,Среднее профессиональное,NULL,Полный рабочий день
Водитель автобуса,17 апреля 2023,40231,"ООО  ""ТК ЕЛЕЦКИЕ ОВОЩИ""",Молодой специалист (1-3 года),Полная,Нет,РФ,NULL,NULL,Среднее профессиональное,NULL,Полный рабочий день
Механизатор,17 апреля 2023,40000,"ООО "" СП "" НИВА""",Молодой специалист (1-3 года),Полная,Нет,РФ,Должностные обязанности в соответствии с должностной инструкцией,разведение крупного рогатого скота,Полное общее,NULL,Полный рабочий день
Оператор машинного доения,17 апреля 2023,25000,"ОАО ""ЛАКША""",Молодой специалист (1-3 года),Полная,Нет,РФ,Проводит осмотр вымени животного перед доением. Осуществляет подмывание вымени животного.,NULL,Полное общее,NULL,Сменный график
Ведущий агроном по семеноводству,17 апреля 2023,25000,"ФИЛИАЛ ФЕДЕРАЛЬНОГО ГОСУДАРСТВЕННОГО БЮДЖЕТНОГО УЧРЕЖДЕНИЯ ""РОССИЙСКИЙ СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ЦЕНТР"" ПО РЕСПУБЛИКЕ КРЫМ",Молодой специалист (1-3 года),Полная,Нет,РФ,"Проводит анализ проб семян и их исследование в целях определения сортовой чистоты и посевных качеств, в том числе для целей сертификации по показателям, удостоверяющим сортовые и посевные качества семян в установленном порядке. Проводит полевые и лабораторные исследования по установлению принадлежности сельскохозяйственных растений и семян к определенному сорту, по определению сортовой чистоты (апробация), по регистрации посевов.Обрабатывает и оформляет в соответствии с методическими материалами официальные документы о качестве семян.",NULL,Высшее,NULL,Полный рабочий день
Агроном,17 апреля 2023,30000,Сибирская опытная станция - филиал ФГБНУ ФНЦ ВНИИМК,Не имеет значения,Полная,Нет,РФ,"Разрабатывает агротехнические мероприятия, направленные на повышение плодородия почв и увеличение урожайности сельскохозяйственных растений, готовит проекты договоров на приобретение семян, удобрений, средств защиты растений, организует работу по выращиванию сортовых семян, созданию семенных фондов и правильному их хранению, организует работу по подготовке почвы к посеву, разрабатывает мероприятия по приготовлению и внесению удобрений в почву, осуществляет контроль за подготовкой семян к посеву, организует работы по посеву и уходу за полевыми культурами, отбирает пробы продукции растительного происхождения, организует прием и регистрацию проб сельскохозяйственных растений, проводит анализ проб сельскохозяйственных растений по определению посевных качеств семян. Ведет рабочую документацию, обеспечивает ее сохранность.",NULL,Высшее,NULL,Ненормированный рабочий день
Скотник,17 апреля 2023,20000,"ООО ""ОПХ ""ИМ. ФРУНЗЕ""",Не имеет значения,Полная,Нет,РФ,NULL,NULL,NULL,NULL,Полный рабочий день
Тракторист-машинист,17 апреля 2023,50000,"ООО ""ОРЕЛ-АГРО-ПРОДУКТ""",Не имеет значения,Полная,Нет,РФ,NULL,NULL,NULL,NULL,Сменный график
Аппаратчик обработки зерна,17 апреля 2023,18000,"ООО ""АГСЕН Проперти""",Молодой специалист (1-3 года),Полная,Нет,РФ,NULL,NULL,Среднее профессиональное,NULL,Полный рабочий день
Слесарь-ремонтник,17 апреля 2023,21000,"ООО ""АГСЕН Проперти""",Молодой специалист (1-3 года),Полная,Нет,РФ,NULL,NULL,Среднее профессиональное,NULL,Полный рабочий день
Овощевод,17 апреля 2023,25000,"Общество с ограниченной ответственностью Тепличный комплекс ""Пермский""",Не имеет значения,Полная,Нет,РФ,NULL,NULL,Полное общее,NULL,Полный рабочий день
Ветеринарный врач,17 апреля 2023,45000,АО ИМ.ЛЕНИНА,Не имеет значения,Полная,Нет,РФ,NULL,NULL,NULL,NULL,Полный рабочий день
Агроном,17 апреля 2023,По договорённости,"ООО ""Лада""",Не имеет значения,Полная,Нет,РФ,Должностные обязанности должны соответствовать должностной инструкции,NULL,Среднее профессиональное,NULL,Полный рабочий день
Медицинская сестра,17 апреля 2023,27600,"ООО ""АПК ""ГОРЛОВСКИЙ""",Не имеет значения,Полная,Нет,РФ,"ОСУЩЕСТВЛЯЕТ ПРИЕМ СОТРУДНИКОВ ПРЕДПРИЯТИЯ. ПРОВОДИТ ВАКЦИНАЦИЮ РАБОТНИКОВ ПРЕДПРИЯТИЯ СОГЛАСНО ГРАФИКА ПРИВИВОК, ВЕДЕТ ВСЮ НЕОБХОДИМУЮ ДОКУМЕНТАЦИЮ. ОКАЗЫВАЕТ ПЕРВУЮ МЕДИЦИНСКУЮ ПОМОЩЬ ПРИ НЕОБХОДИМОСТИ.",NULL,Среднее профессиональное,NULL,Неполный рабочий день
Водитель автомобиля,29 июля 2022,40000,"ООО ""БИО-ТОН""",Молодой специалист (1-3 года),Полная,Нет,РФ,"Перевозка сельскохозяйственной продукции, управление грузовым транспортом, проверка исправности, устранение мелких недостатков.",NULL,Среднее профессиональное,NULL,Гибкий график
Агроном,17 апреля 2023,38500,"ООО ""НЕКРАСОВО-1""",Молодой специалист (1-3 года),Полная,Нет,РФ,NULL,NULL,Высшее,NULL,Ненормированный рабочий день
Водитель автомобиля,17 апреля 2023,18679,ГБУСО КАМЕНСКАЯ ВЕТСТАНЦИЯ,Молодой специалист (1-3 года),Полная,Нет,РФ,NULL,NULL,Полное общее,NULL,Полный рабочий день
Тракторист-машинист,17 апреля 2023,30000,"СПК ""КУДАШЕВО""",Не имеет значения,Полная,Нет,РФ,управление                    сельскохозяйственной  техникой,NULL,Полное общее,NULL,Полный рабочий день
Весовщик,17 апреля 2023,16242,"ООО ""СПК ""МАЛАХОВО""",Молодой специалист (1-3 года),Полная,Нет,РФ,NULL,NULL,NULL,NULL,Полный рабочий день
Подсобный рабочий,17 апреля 2023,16500,"ООО ""ЗАПСИБХЛЕБ-ИСЕТЬ""",Не имеет значения,Полная,Нет,РФ,NULL,NULL,NULL,NULL,Неполный рабочий день
Зоотехник,17 апреля 2023,19000,"Общество с ограниченной ответственностью ""Сорокинские сыры""",Не имеет значения,Полная,Нет,РФ,NULL,NULL,Среднее профессиональное,NULL,Полный рабочий день
Бухгалтер,17 апреля 2023,19000,"Общество с ограниченной ответственностью ""Сорокинские сыры""",Не имеет значения,Полная,Нет,РФ,NULL,NULL,NULL,NULL,Полный рабочий день
Лаборант,17 апреля 2023,23000,"ООО ""РАВИС - ПТИЦЕФАБРИКА СОСНОВСКАЯ""",Не имеет значения,Полная,Нет,РФ,ЛАБОРАНТ                                                                           .,NULL,Среднее профессиональное,NULL,Полный рабочий день
Ветеринарный фельдшер,17 апреля 2023,31340,"ГБУ ""УЛЁТОВСКАЯ СББЖ""",Не имеет значения,Полная,Нет,РФ,NULL,NULL,Среднее профессиональное,NULL,Полный рабочий день
Оператор машинного доения,17 апреля 2023,19500,"ООО ""АГРОФИРМА КНЯЖЕВО""",Не имеет значения,Полная,Нет,РФ,NULL,NULL,NULL,NULL,Сменный график
Курьер,17 апреля 2023,16242,"ООО ""ВОЗРОЖДЕНИЕ""",Не имеет значения,Частичная,Нет,РФ,NULL,NULL,NULL,NULL,Неполный рабочий день
Подсобный рабочий,17 апреля 2023,16242,"ООО ""ВОЗРОЖДЕНИЕ""",Не имеет значения,Полная,Нет,РФ,NULL,NULL,Среднее профессиональное,NULL,Полный рабочий день
Машинист экскаватора,26 мартa 2023,По договорённости,ГКФХ Терентьева Елизавета Александровна,Эксперт (3-6 лет),Полная,Да,"РФ, СНГ",Работа на экскаваторе .На землях с/х назначения. На объектах строительства.,Опыт работы . Пунктуальность. Трудолюбие.,NULL,"Оформление по ТК. Гибкий график. Достойная, своевременная з/п. Возможность проживания на территории работодателя.","5/2, 8.00-18.00"
Слесарь по ремонту сельскохозяйственных машин и оборудования,17 апреля 2023,16242,"ООО ""КРАСНОЕ ЗАРЕЧЬЕ""",Не имеет значения,Полная,Нет,РФ,NULL,NULL,NULL,NULL,Неполный рабочий день
Оператор машинного доения,17 апреля 2023,18679,"СПК ""АНОХИНСКИЙ""",Молодой специалист (1-3 года),Полная,Нет,РФ,NULL,NULL,NULL,NULL,Сменный график
Тракторист,17 апреля 2023,18679,"СПК ""АНОХИНСКИЙ""",Молодой специалист (1-3 года),Полная,Нет,РФ,NULL,NULL,Среднее профессиональное,NULL,Полный рабочий день
Ведущий агроном по семеноводству,17 апреля 2023,25000,Филиал КПП 550102001,Молодой специалист (1-3 года),Полная,Нет,РФ,NULL,NULL,Высшее,NULL,Полный рабочий день
Сервисный инженер,19 апреля 2022,По договорённости,"ООО ""АГРОЦЕНТР""",Молодой специалист (1-3 года),Полная,Нет,РФ,NULL,NULL,Среднее профессиональное,NULL,Полный рабочий день
Механик,17 апреля 2023,24570,"ООО ""РУССКО-БРОДСКИЙ ЭЛЕВАТОР""",Эксперт (3-6 лет),Полная,Нет,РФ,NULL,NULL,Полное общее,NULL,Ненормированный рабочий день
Тракторист,17 апреля 2023,24000,"СНТ ""Атоммашевец""",Молодой специалист (1-3 года),Полная,Нет,РФ,NULL,NULL,NULL,NULL,Полный рабочий день
Слесарь,17 апреля 2023,30000,"ООО ""ПЕРВОУРАЛЬСКИЙ""",Молодой специалист (1-3 года),Полная,Нет,РФ,NULL,NULL,Среднее профессиональное,NULL,Полный рабочий день
Тракторист-механизатор,17 апреля 2023,38000,"ООО ""ПЕРВОУРАЛЬСКИЙ""",Молодой специалист (1-3 года),Полная,Нет,РФ,NULL,NULL,Полное общее,NULL,Полный рабочий день
Подсобный рабочий,17 апреля 2023,20000,"АО ""КАМЕНСКОЕ""",Не имеет значения,Полная,Нет,РФ,NULL,NULL,NULL,NULL,Полный рабочий день
Ветеринарный врач,26 мартa 2023,80000,"ООО ""АГРОФИРМА АРИАНТ""",Молодой специалист (1-3 года),Полная,Да,"РФ, СНГ","Агрофирма «Ариант» - крупнейший агропромышленный холдинг по производству мясной продукции в Уральском регионе. Входит в десятку лидеров отрасли по России. В структуру вертикально интегрированного холдинга входят сельскохозяйственные и производственные площадки, а так же фирменная торговая сеть. Сайт компании: www.ariant.ru
Обязанности:
- Организовывать и исполнять ветеринарное обслуживание на участке;
- Организовывать и контролировать проведение комплекса мероприятий, направленных на выращивание и содержание полноценного поголовья;
- Проводить профилактические, ветеринарно-санитарные, противоэпизоотические и лечебные мероприятия на участке в соответствии с инструкциями;
- Ежедневно проводить осмотр всего поголовья участка, организовывать изоляцию больных или подозреваемых в заболевании животных. 
- Назначать лечение.","- Высшее образование по соответствующей специальности или по такой специальности, которая позволяет работать Ветеринарным врачом (смежная или похожая специальность);
- Опыт работы в данной должности от 1 года",Высшее,"- Работа в крупном, развивающемся сельскохозяйственном предприятии;
- Гарантированный профессиональный рост;
- Оформление в соответствии с трудовым законодательством;
- Стабильная и своевременная зарплата;
- Льготное питание;
- В случае релокации предоставляется служебное жилье;
- График работы: пятидневная рабочая неделя с 8:00 до 16:45",пятидневный
Заместитель главного ветеринарного врача,26 мартa 2023,По договорённости,"ООО ""АГРОФИРМА АРИАНТ""",Эксперт (3-6 лет),Полная,Да,РФ,"Агрофирма «Ариант» - крупнейший агропромышленный холдинг по производству мясной продукции в Уральском регионе. Входит в десятку лидеров отрасли по России. В структуру вертикально интегрированного холдинга входят сельскохозяйственные и производственные площадки, а так же фирменная торговая сеть. Сайт: www.ariant.ru
Обязанности:
- Контроль соблюдения ветеринарно-санитарных требований;
- Взаимодействие с контролирующими и надзорными органами;
-Участие в разработке нормативной документации;
- Проведение обучений и инструктажей для работников животноводства.
- Составление и контроль выполнения плана противоэпизоотических, профилактических и лечебных мероприятий;
- Лабораторные исследования;
- Контроль за биологической безопасностью предприятия;
- Ветеринарная отчётность и учет.","- Опыт работы в свиноводстве практикующим врачом, эпизоотологом;
- Знание ветеринарного законодательства, ветеринарной отчётности и учёта, регламентов, требованиям к современному ведению свиноводства;
-Знание ПК;
- Коммуникабельность, стрессоустойчивость, умение работа в команде.",Высшее,"Работа в крупном стабильном предприятии;
- Официальное трудоустройство;
- Пятидневная рабочая неделя;
- Компенсация аренды жилья в случае релокации;
-Уровень дохода обсуждается с успешны кандидатом.",пятидневный
Агроном,17 апреля 2023,50000,ИП ДИМИТРИЕВ О. Н.,Не имеет значения,Полная,Нет,РФ,NULL,NULL,Высшее,NULL,Ненормированный рабочий день
Руководитель подразделения,17 апреля 2023,70000,"АО ""АГРОФИРМА""ОКТЯБРЬСКАЯ""",Молодой специалист (1-3 года),Полная,Нет,РФ,NULL,NULL,NULL,NULL,Полный рабочий день
Животновод,17 апреля 2023,30000,"АО ФИРМА ""АГРОКОМПЛЕКС"" ИМ. Н.И.ТКАЧЕВА",Не имеет значения,Полная,Нет,РФ,Уход за телятами соблюдение технологий содержания и выращивания молодняка в помещениях разных типов,Водительское удостоверение кат. B,Полное общее,NULL,Полный рабочий день
Водитель автомобиля,17 апреля 2023,20000,"ООО ""Агроальянс""",Молодой специалист (1-3 года),Полная,Нет,РФ,NULL,NULL,Полное общее,NULL,Полный рабочий день
Инженер,17 апреля 2023,20000,"ООО ""Агроальянс""",Молодой специалист (1-3 года),Полная,Нет,РФ,NULL,NULL,Высшее,NULL,Полный рабочий день
Ветеринарный врач,17 апреля 2023,60000,"ООО ""МИРАТОРГ-КУРСК""",Молодой специалист (1-3 года),Полная,Нет,РФ,NULL,NULL,Высшее,NULL,Полный рабочий день
Оператор свинокомплекса,20 июля 2022,30000,"ООО ""МИРАТОРГ-КУРСК""",Не имеет значения,Полная,Нет,РФ,NULL,NULL,Полное общее,NULL,Полный рабочий день
Разнорабочий,05 мартa 2022,18000,"Общество с ограниченной ответственностью ""Сельскохозяйственное предприятие Цветы""",Молодой специалист (1-3 года),Вахтовый метод,Нет,РФ,"осуществляет срезку, упаковывание растений, хозяйственные работы в теплицах",NULL,Полное общее,NULL,Полный рабочий день
Зоотехник,17 апреля 2023,44200,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДЕТСКИЙ ОЗДОРОВИТЕЛЬНЫЙ КОМПЛЕКС ""ЛУЖСКИЙ""",Молодой специалист (1-3 года),Полная,Нет,РФ,NULL,NULL,Высшее,NULL,Полный рабочий день
Санитар ветеринарный,17 апреля 2023,18679,"ГБУ ""Октябрьское райветуправление""",Не имеет значения,Полная,Нет,РФ,NULL,NULL,NULL,NULL,Неполный рабочий день
Уборщик территории,17 апреля 2023,18679,"ГБУ ""Октябрьское райветуправление""",Не имеет значения,Полная,Нет,РФ,NULL,NULL,NULL,NULL,Полный рабочий день
Оператор животноводческих комплексов и механизированных ферм,17 апреля 2023,34500,"ООО ""БРЯНСКАЯ МЯСНАЯ КОМПАНИЯ""",Не имеет значения,Полная,Нет,РФ,"выявление и лечение больных животных (КРС), помощь в ветеринарных мероприятиях, уход за скотом",Ответственность,Полное общее,NULL,Сменный график
Тракторист-машинист,17 апреля 2023,46000,"ООО ""БРЯНСКАЯ МЯСНАЯ КОМПАНИЯ""",Не имеет значения,Полная,Нет,РФ,Выполнение с/х работа на тракторах на территории фермы. Должностные обязанности согласно должностной инструкции организации,Удостоверение тракториста-машиниста кат. D,Полное общее,NULL,Полный рабочий день
Санитар ветеринарный,17 апреля 2023,30000,"ООО""УРАЛЬСКАЯ МЯСНАЯ КОМПАНИЯ""",Не имеет значения,Полная,Нет,РФ,NULL,NULL,Среднее профессиональное,NULL,Полный рабочий день
Тракторист-машинист,17 апреля 2023,28800,"ООО ""АГРОМИР""",Не имеет значения,Полная,Нет,РФ,Должностные обязанности согласно должностной инструкции в организации.,NULL,Среднее профессиональное,NULL,Полный рабочий день
Животновод,17 апреля 2023,20000,"ООО ""АГРОМИР""",Не имеет значения,Полная,Нет,РФ,Должностные обязанности согласно должностной инструкции в организации.,NULL,Полное общее,NULL,Сменный график
Животновод,17 апреля 2023,20000,"ООО ""АГРОМИР""",Не имеет значения,Полная,Нет,РФ,Должностные обязанности согласно должностной инструкции в организации.,NULL,Полное общее,NULL,Сменный график
Оператор машинного доения,17 апреля 2023,22000,"ООО ""АГРОМИР""",Не имеет значения,Полная,Нет,РФ,Должностные обязанности согласно должностной инструкции в организации.,NULL,Полное общее,NULL,Сменный график
Тракторист-машинист,17 апреля 2023,28800,"ООО ""АГРОМИР""",Не имеет значения,Полная,Нет,РФ,Должностные обязанности согласно должностной инструкции в организации.,NULL,Среднее профессиональное,NULL,Полный рабочий день
Животновод,17 апреля 2023,20000,"ООО ""АГРОМИР""",Не имеет значения,Полная,Нет,РФ,Должностные обязанности согласно должностной инструкции в организации.,NULL,Полное общее,NULL,Сменный график
Тракторист-машинист,17 апреля 2023,28800,"ООО ""АГРОМИР""",Не имеет значения,Полная,Нет,РФ,Должностные обязанности согласно должностной инструкции в организации.,NULL,Среднее профессиональное,NULL,Полный рабочий день
Животновод,17 апреля 2023,20000,"ООО ""АГРОМИР""",Не имеет значения,Полная,Нет,РФ,Должностные обязанности согласно должностной инструкции в организации.,NULL,Полное общее,NULL,Сменный график
Тракторист-машинист,17 апреля 2023,28800,"ООО ""АГРОМИР""",Не имеет значения,Полная,Нет,РФ,Должностные обязанности согласно должностной инструкции в организации.,NULL,Среднее профессиональное,NULL,Полный рабочий день
Лаборант,17 апреля 2023,20000,ФКУ ЛИУ-2 УФСИН РОССИИ ПО ЕВРЕЙСКОЙ АВТОНОМНОЙ ОБЛАСТИ,Не имеет значения,Полная,Нет,РФ,NULL,NULL,Среднее профессиональное,NULL,Неполный рабочий день
Подсобный рабочий,17 апреля 2023,16242,"АО ""РАЗВИТИЕ СЕЛА""",Не имеет значения,Полная,Нет,РФ,NULL,NULL,NULL,NULL,Неполный рабочий день
